Scala;Provv;Sconto
A;0.27;0.00
A;0.27;0.02
A;0.27;0.04
A;0.26;0.06
A;0.26;0.08
A;0.26;0.1
A;0.26;0.12
A;0.26;0.14
A;0.25;0.16
A;0.25;0.18
A;0.25;0.2
A;0.25;0.22
A;0.25;0.24
A;0.24;0.26
A;0.24;0.28
A;0.24;0.3
A;0.24;0.32
A;0.24;0.34
A;0.23;0.36
A;0.23;0.38
A;0.23;0.4
A;0.23;0.42
A;0.23;0.44
A;0.22;0.46
A;0.22;0.48
A;0.22;0.5
A;0.22;0.52
A;0.22;0.54
A;0.21;0.55
A;0.21;0.56
A;0.21;0.58
A;0.21;0.6
A;0.21;0.62
A;0.21;0.64
A;0.2;0.66
A;0.2;0.68
A;0.2;0.7
A;0.2;0.72
A;0.2;0.74
A;0.19;0.76
A;0.19;0.78
A;0.19;0.8
A;0.19;0.82
A;0.19;0.84
A;0.18;0.86
A;0.18;0.88
A;0.18;0.9
A;0.18;0.92
A;0.18;0.94
A;0.17;0.96
A;0.17;0.98
A;0.17;1
A;0.17;1.02
A;0.17;1.04
A;0.16;1.06
A;0.16;1.08
A;0.16;1.1
A;0.16;1.12
A;0.16;1.13
A;0.16;1.14
A;0.15;1.15
A;0.15;1.16
A;0.15;1.17
A;0.15;1.18
A;0.15;1.19
A;0.15;1.2
A;0.15;1.21
A;0.15;1.22
A;0.15;1.23
A;0.15;1.24
A;0.14;1.25
A;0.14;1.26
A;0.14;1.27
A;0.14;1.28
A;0.14;1.29
A;0.14;1.3
A;0.14;1.31
A;0.14;1.32
A;0.14;1.33
A;0.14;1.34
A;0.13;1.35
A;0.13;1.36
A;0.13;1.37
A;0.13;1.38
A;0.13;1.39
A;0.13;1.4
A;0.13;1.41
A;0.13;1.42
A;0.13;1.43
A;0.13;1.44
A;0.13;1.45
A;0.12;1.46
A;0.12;1.47
A;0.12;1.48
A;0.12;1.49
A;0.12;1.5
A;0.12;1.51
A;0.12;1.52
A;0.12;1.53
A;0.12;1.54
A;0.12;1.55
A;0.11;1.56
A;0.11;1.57
A;0.11;1.58
A;0.11;1.59
A;0.11;1.6
A;0.11;1.61
A;0.11;1.62
A;0.11;1.63
A;0.11;1.64
A;0.11;1.65
A;0.1;1.66
A;0.1;1.67
A;0.1;1.68
