Scala;Provv;Sconto €/U;;;;
A;27,0%;0,00;;;;
A;26,8%;0,02;;;;
A;26,6%;0,04;;;;
A;26,4%;0,06;;;;
A;26,2%;0,08;;;;
A;26,0%;0,10;;;;
A;25,8%;0,12;;;;
A;25,6%;0,14;;;;
A;25,4%;0,16;;;;
A;25,2%;0,18;;;;
A;25,0%;0,20;;;;
A;24,8%;0,22;;;;
A;24,6%;0,24;;;;
A;24,4%;0,26;;;;
A;24,2%;0,28;;;;
A;24,0%;0,30;;;;
A;23,8%;0,32;;;;
A;23,6%;0,34;;;;
A;23,4%;0,36;;;;
A;23,2%;0,38;;;;
A;23,0%;0,40;;;;
A;22,8%;0,42;;;;
A;22,6%;0,44;;;;
A;22,4%;0,46;;;;
A;22,2%;0,48;;;;
A;22,0%;0,50;;;;
A;21,8%;0,52;;;;
A;21,6%;0,54;;;;
A;21,4%;0,55;;;;
A;21,4%;0,56;;;;
A;21,2%;0,58;;;;
A;21,0%;0,60;;;;
A;20,8%;0,62;;;;
A;20,6%;0,64;;;;
A;20,4%;0,66;;;;
A;20,2%;0,68;;;;
A;20,0%;0,70;;;;
A;19,8%;0,72;;;;
A;19,6%;0,74;;;;
A;19,4%;0,76;;;;
A;19,2%;0,78;;;;
A;19,0%;0,80;;;;
A;18,8%;0,82;;;;
A;18,6%;0,84;;;;
A;18,4%;0,86;;;;
A;18,2%;0,88;;;;
A;18,0%;0,90;;;;
A;17,8%;0,92;;;;
A;17,6%;0,94;;;;
A;17,4%;0,96;;;;
A;17,2%;0,98;;;;
A;17,0%;1,00;;;;
A;16,8%;1,02;;;;
A;16,6%;1,04;;;;
A;16,4%;1,06;;;;
A;16,2%;1,08;;;;
A;16,0%;1,10;;;;
A;15,8%;1,12;;;;
A;15,6%;1,13;;;;
A;15,5%;1,14;;;;
A;15,4%;1,15;;;;
A;15,3%;1,16;;;;
A;15,2%;1,17;;;;
A;15,1%;1,18;;;;
A;15,0%;1,19;;;;
A;14,9%;1,20;;;;
A;14,8%;1,21;;;;
A;14,7%;1,22;;;;
A;14,6%;1,23;;;;
A;14,5%;1,24;;;;
A;14,4%;1,25;;;;
A;14,3%;1,26;;;;
A;14,2%;1,27;;;;
A;14,1%;1,28;;;;
A;14,0%;1,29;;;;
A;13,9%;1,30;;;;
A;13,8%;1,31;;;;
A;13,7%;1,32;;;;
A;13,6%;1,33;;;;
A;13,5%;1,34;;;;
A;13,4%;1,35;;;;
A;13,3%;1,36;;;;
A;13,2%;1,37;;;;
A;13,1%;1,38;;;;
A;13,0%;1,39;;;;
A;12,9%;1,40;;;;
A;12,8%;1,41;;;;
A;12,8%;1,42;;;;
A;12,7%;1,43;;;;
A;12,6%;1,44;;;;
A;12,5%;1,45;;;;
A;12,4%;1,46;;;;
A;12,3%;1,47;;;;
A;12,2%;1,48;;;;
A;12,1%;1,49;;;;
A;12,0%;1,50;;;;
A;11,9%;1,51;;;;
A;11,8%;1,52;;;;
A;11,7%;1,53;;;;
A;11,6%;1,54;;;;
A;11,5%;1,55;;;;
A;11,4%;1,56;;;;
A;11,3%;1,57;;;;
A;11,2%;1,58;;;;
A;11,1%;1,59;;;;
A;11,0%;1,60;;;;
A;10,9%;1,61;;;;
A;10,8%;1,62;;;;
A;10,7%;1,63;;;;
A;10,6%;1,64;;;;
A;10,5%;1,65;;;;
A;10,4%;1,66;;;;
A;10,3%;1,67;;;;
A;10,2%;1,68;;;;
A;10,1%;1,69;;;;
A;10,0%;1,70;;;;
A;9,9%;1,72;;;;
A;9,8%;1,74;;;;
A;9,7%;1,76;;;;
A;9,6%;1,78;;;;
A;9,5%;1,80;;;;
A;9,4%;1,82;;;;
A;9,3%;1,84;;;;
A;9,2%;1,86;;;;
A;9,1%;1,88;;;;
A;9,0%;1,90;;;;
A;8,9%;1,92;;;;
A;8,8%;1,94;;;;
A;8,7%;1,96;;;;
A;8,6%;1,98;;;;
A;8,5%;2,00;;;;
A;8,4%;2,02;;;;
A;8,3%;2,04;;;;
A;8,2%;2,06;;;;
A;8,1%;2,08;;;;
A;8,0%;2,10;;;;
A;7,9%;2,12;;;;
A;7,8%;2,14;;;;
A;7,7%;2,16;;;;
A;7,6%;2,18;;;;
A;7,5%;2,20;;;;
A;7,4%;2,22;;;;
A;7,3%;2,24;;;;
A;7,2%;2,26;;;;
A;7,1%;2,28;;;;
A;7,0%;2,30;;;;
A;6,9%;2,32;;;;
A;6,8%;2,34;;;;
A;6,7%;2,36;;;;
A;6,6%;2,38;;;;
A;6,5%;2,40;;;;
A;6,4%;2,42;;;;
A;6,3%;2,44;;;;
A;6,2%;2,46;;;;
A;6,1%;2,48;;;;
A;6,0%;2,50;;;;
A;5,9%;2,51;;;;
A;5,8%;2,52;;;;
A;5,7%;2,53;;;;
A;5,6%;2,54;;;;
A;5,5%;2,55;;;;
A;5,4%;2,56;;;;
A;5,3%;2,57;;;;
A;5,2%;2,58;;;;
A;5,1%;2,59;;;;
A;5,0%;2,60;;;;
A;4,9%;2,61;;;;
A;4,8%;2,62;;;;
A;4,7%;2,63;;;;
A;4,6%;2,64;;;;
A;4,5%;2,65;;;;
A;4,4%;2,66;;;;
A;4,3%;2,67;;;;
A;4,2%;2,68;;;;
A;4,1%;2,69;;;;
A;4,0%;2,70;;;;
A;3,9%;2,72;;;;
A;3,8%;2,75;;;;
A;3,7%;2,77;;;;
A;3,6%;2,79;;;;
A;3,5%;2,81;;;;
A;3,4%;2,83;;;;
A;3,3%;2,86;;;;
A;3,2%;2,89;;;;
A;3,1%;2,92;;;;
A;3,0%;3,25;;;;
A;2,9%;3,26;;;;
A;2,8%;3,27;;;;
A;2,7%;3,28;;;;
A;2,6%;3,29;;;;
A;2,5%;3,30;;;;
A;2,0%;3,50;;;;
B;27,00%;0,00;;;27,00%;27,00%
B;26,80%;0,01;;;26,80%;26,80%
B;26,60%;0,02;;;26,60%;26,60%
B;26,40%;0,03;;;26,40%;26,40%
B;26,20%;0,04;;;26,20%;26,20%
B;26,00%;0,05;;;26,00%;26,00%
B;25,80%;0,06;;;25,80%;25,80%
B;25,60%;0,07;;;25,60%;25,60%
B;25,40%;0,08;;;25,40%;25,40%
B;25,20%;0,09;;;25,20%;25,20%
B;25,00%;0,10;;;25,00%;25,00%
B;24,80%;0,11;;;24,80%;24,80%
B;24,60%;0,12;;;24,60%;24,60%
B;24,40%;0,13;;;24,40%;24,40%
B;24,20%;0,14;;;24,20%;24,20%
B;24,00%;0,15;;;24,00%;24,00%
B;23,80%;0,16;;;23,80%;23,80%
B;23,60%;0,17;;;23,60%;23,60%
B;23,40%;0,18;;;23,40%;23,40%
B;23,20%;0,19;;;23,20%;23,20%
B;23,00%;0,20;;;23,00%;23,00%
B;22,80%;0,21;;;22,80%;22,80%
B;22,60%;0,22;;;22,60%;22,60%
B;22,40%;0,23;;;22,40%;22,40%
B;22,20%;0,24;;;22,20%;22,20%
B;22,00%;0,25;;;22,00%;22,00%
B;21,80%;0,26;;;21,80%;21,80%
B;21,60%;0,27;;;21,60%;21,60%
B;21,40%;0,28;;;21,40%;21,40%
B;21,20%;0,29;;;21,20%;21,20%
B;21,00%;0,30;;;21,00%;21,00%
B;20,80%;0,31;;;20,80%;20,80%
B;20,60%;0,32;;;20,60%;20,60%
B;20,40%;0,33;;;20,40%;20,40%
B;20,20%;0,34;;;20,20%;20,20%
B;20,00%;0,35;;;20,00%;20,00%
B;19,80%;0,36;;;19,80%;19,80%
B;19,60%;0,37;;;19,60%;19,60%
B;19,40%;0,38;;;19,40%;19,40%
B;19,20%;0,39;;;19,20%;19,20%
B;19,00%;0,40;;;19,00%;19,00%
B;18,80%;0,41;;;18,80%;18,80%
B;18,60%;0,42;;;18,60%;18,60%
B;18,40%;0,43;;;18,40%;18,40%
B;18,20%;0,44;;;18,20%;18,20%
B;18,00%;0,45;;;18,00%;18,00%
B;17,80%;0,46;;;17,80%;17,80%
B;17,60%;0,47;;;17,60%;17,60%
B;17,40%;0,48;;;17,40%;17,40%
B;17,20%;0,49;;;17,20%;17,20%
B;17,00%;0,50;;;17,00%;17,00%
B;16,80%;0,51;;;16,80%;16,80%
B;16,60%;0,52;;;16,60%;16,60%
B;16,40%;0,53;;;16,40%;16,40%
B;16,20%;0,54;;;16,20%;16,20%
B;16,00%;0,55;;;16,00%;16,00%
B;15,80%;0,56;;;15,80%;15,80%
B;15,60%;0,57;;;15,60%;15,60%
B;15,40%;0,58;;;15,40%;15,40%
B;15,20%;0,59;;;15,20%;15,20%
B;15,00%;0,60;;;15,00%;15,00%
B;14,80%;0,61;;;14,80%;14,80%
B;14,60%;0,62;;;14,60%;14,60%
B;14,40%;0,63;;;14,40%;14,40%
B;14,20%;0,64;;;14,20%;14,20%
